ID;PartNumber;Description;Size;Status;Value
37;0134B;WILD TURKEY RUSSELL S RES.;750 ML;R; 87.11 
38;0135B;ENGLISH HARBOUR RUM 10 YR;750 ML;S; 54.10 
39;0136B;EVAN WILLIAMS BLK LABEL;750 ML;R; 87.34 
40;0136E;EVAN WILLIAMS BLK LABEL;375 ML;R; 63.96 
41;0136H;EVAN WILLIAMS BLK LABEL;1.75 L;R; 42.43 
42;0137B;EVAN WILLIAMS LIGHT WGT;750 ML;R; 67.66 
43;0138B;ELIJAH CRAIG;750 ML;R; 74.33 
44;0139B;WOODFORD RESERVE;750 ML;R; 90.71 
45;0139D;WOODFORD RESERVE;200 ML;T; 35.75 
46;0139E;WOODFORD RESERVE;375 ML;L; 39.71 
47;0139H;WOODFORD RESERVE;1.75 L;L; 40.76 
48;0140B;JIM BEAM;750 ML;R; 11.37 
49;0140D;JIM BEAM;200 ML;R; 75.97 
50;0140E;JIM BEAM;375 ML;R; 73.93 
51;0140F;JIM BEAM;50 ML;R; 50.18 
52;0140H;JIM BEAM;1.75 L;R; 78.20 
53;0141B;JIM BEAM LT. WGT.;750 ML;R; 46.07 
54;0142B;OLD POGUE MASTER S SELECT;750 ML;S; 83.25 
55;0143B;LUNAZUL ANEJO TEQUILA;750 ML;L; 26.12 
56;0144B;AGE YOUR OWN WHISKEY KIT;750 ML;C; 66.26 
57;0145B;RENDEZVOUS RYE N/A;750 ML;D; 56.39 
58;0146B;JACK DANIELS #7 BL LABEL;750 ML;R; 37.59 
59;0146D;JACK DANIELS #7 BL LABEL;200 ML;R; 51.99 
60;0146E;JACK DANIELS #7 BL LABEL;375 ML;R; 3.76 
61;0146F;JACK DANIELS #7 BL LABEL;50 ML;R; 66.59 
62;0146H;JACK DANIELS #7 BL LABEL;1.75 L;R; 12.15 
63;0147B;GEORGE DICKEL #12;750 ML;R; 2.89 
64;0147H;GEORGE DICKEL #12;1.75 L;S; 42.86 
65;0148B;GENTLEMAN JACK;750 ML;R; 40.87 
66;0148E;GENTLEMAN JACK;375 ML;L; 90.82 
67;0148H;GENTLEMAN JACK;1.75 L;R; 10.09 
68;0149B;KNAPPOGUE CASTLE TWIN WOOD;750 ML;S; 85.40 
69;0150B;BRUICHLADDICH BOURBON CASK;750 ML;S; 81.73 
70;0151A;PAJARITO GOLD GLASS;LITER;S; 9.82 
71;0152B;OLD CROW;750 ML;R; 14.66 
72;0152E;OLD CROW;375 ML;R; 55.79 
73;0152H;OLD CROW;1.75 L;R; 47.67 
74;0153B;OLD CROW LT. WGT.;750 ML;R; 75.16 
75;0154E;OLD TAYLOR;375 ML;S; 9.60 
76;0154H;OLD TAYLOR;1.75 L;R; 94.59 
77;0155B;ANCIENT AGE;750 ML;R; 26.58 
78;0155H;ANCIENT AGE;1.75 L;R; 24.42 
79;0156B;EARLY TIMES;750 ML;R; 69.19 
80;0156E;EARLY TIMES;375 ML;R; 48.80 
81;0156H;EARLY TIMES;1.75 L;R; 20.16 
82;0157B;SAUZA BLUE SILVER;750 ML;L; 74.71 
83;0158B;OLD GRAND DAD;750 ML;R; 25.34 
84;0158H;OLD GRAND DAD;1.75 L;S; 31.81 
85;0159B;EARLY TIMES LT.WGT.;750 ML;R; 41.76 
86;0160B;EVAN WILLIAMS GR LABEL;750 ML;R; 61.99 
87;0160H;EVAN WILLIAMS GR LABEL;1.75 L;R; 56.63 
88;0161B;SAUZA BLUE REPOSADO;750 ML;L; 2.72 
89;0163B;OLD CROW RESERVE;750 ML;L; 47.74 
90;0163H;OLD CROW RESERVE;1.75 L;L; 64.51 
91;0164B;EVAN WILLIAMS CHERRY RESER;750 ML;L; 12.23 
92;0165B;JACK DANIELS #7 GR LABEL;750 ML;R; 45.87 
93;0165E;JACK DANIELS #7 GR LABEL;375 ML;T; 72.97 
94;0165H;JACK DANIELS #7 GR LABEL;1.75 L;X; 89.99 
95;0166B;PUCKER CHERRY VODKA;750 ML;L; 35.87 
96;0167B;PUCKER CITRUS VODKA;750 ML;L; 71.99 
97;0168B;PUCKER GRAPE VODKA;750 ML;L; 95.62 
98;0169B;PUCKER SOUR APPLE VODKA;750 ML;L; 75.24 
99;0170B;COURVOISIER ROSE;750 ML;T; 2.09 
100;0171B;ABSOLUT ORIENT APPLE;750 ML;L; 98.52 
101;0171F;ABSOLUT ORIENT APPLE;50 ML;T; 22.99 
102;0172B;MALIBU BLACK;750 ML;L; 72.98 
103;0172F;MALIBU BLACK;50 ML;T; 17.42 
104;0173B;BEAM S CHOICE;750 ML;R; 64.73 
105;0173H;BEAM S CHOICE;1.75 L;R; 40.30 
106;0174B;BULLEIT 95 RYE;750 ML;L; 87.47 
107;0175H;BAILEYS MUDSLIDE;1.75 L;T; 10.37 
108;0176B;PINNACLE CAKE FLAVORED VOD;750 ML;L; 56.31 
109;0177B;WILD SHOT REPOSADO;750 ML;S; 44.30 
110;0178B;VAN GOGH BLUE VODKA;750 ML;L; 76.89 
111;0179B;FIREFLY SKINNY TEA;750 ML;L; 87.74 
112;0179F;FIREFLY SKINNY TEA;50 ML;T; 54.31 
113;0180B;ROGUE VINTAGE VODKA;750 ML;C; 7.69 
114;0181B;Qi WHITE TEA LIQUEUR;750 ML;S; 17.98 
115;0182B;Qi SMOKED BLACK TEA LIQUEU;750 ML;S; 10.10 
116;0183F;BACARDI MULTI-FLAVORED PAC;50 ML;T; 73.71 
117;0184B;HENRY MCKENNA;750 ML;R; 45.69 
118;0185B;D & T LONACH GLENDARROCH 4;750 ML;S; 4.56 
119;0186H;JOSE CUERVO WATERMELON MAR;1.75 L;L; 33.79 
120;0187H;JOSE CUERVO LT MARG. LIME;1.75 L;L; 18.59 
121;0188B;BLACK MARIAH MARIONBERRY C;750 ML;C; 70.06 
122;0189B;OLD FORESTER STR;750 ML;R; 61.61 
123;0190E;JACK DANIEL S & COLA;375 ML;S; 55.85 
124;0192E;JACK DANIEL S & DIET COLA;375 ML;S; 77.05 
125;0193B;TEN HIGH;750 ML;R; 31.72 
126;0193H;TEN HIGH;1.75 L;R; 53.55 
127;0194E;JACK DANIEL S & GINGER;375 ML;S; 92.69 
128;0195B;GLENFARCLAS 40 YR;750 ML;S; 35.15 
129;0196B;WILD TURKEY BOURBON 81;750 ML;R; 15.28 
130;0196H;WILD TURKEY BOURBON 81;1.75 L;S; 51.75 
131;0197B;STONE BARN EASY EIGHT WHIS;750 ML;L; 78.43 
132;0198B;ALMA DE AGAVE ANEJO TEQUIL;750 ML;S; 93.11 
133;0199B;GEORGE DICKEL #8;750 ML;C; 64.19 
134;0199F;GEORGE DICKEL #8;50 ML;S; 58.37 
135;0200B;ALMA DE AGAVE BLANCO TEQUI;750 ML;S; 98.21 
136;0201B;ALMA DE AGAVE REPOSADO TEQ;750 ML;S; 95.26 
137;0202E;REISETBAUER APPLE BRANDY;375 ML;S; 71.17 
138;0203E;REISETBAUER CARROT EAU DE;375 ML;S; 59.92 
139;0204E;REISETBAUER GINGER EAU DE;375 ML;S; 66.05 
140;0205H;MALIBU RUM PUNCH COCKTAIL;1.75 L;T; 75.65 
141;0206H;MALIBU TROPICAL MOJITO COC;1.75 L;T; 65.95 
142;0207B;SEAGRAM S PLATINUM VODKA;750 ML;L; 79.55 
143;0208B;HPNOTIQ HARMONIE LIQUEUR;750 ML;L; 6.77 
144;0209B;UV CAKE FLAVORED VODKA;750 ML;T; 52.14 
145;0210B;CARTRON GINGER LIQUEUR;750 ML;S; 26.12 
146;0211B;CARTRON POMEGRANATE LIQUEU;750 ML;S; 69.47 
147;0212B;OLD OVERHOLT;750 ML;R; 59.01 
148;0213B;COMPASS BOX OAK CROSS WHIS;750 ML;S; 17.93 
149;0214B;EL TEQUILENO PLATINO BLANC;750 ML;S; 55.62 
150;0215B;EL TEQUILENO GRAN RES REPO;750 ML;S; 67.42 
151;0217A;BLACK LAB VODKA;LITER;S; 67.56 
152;0218B;REISETBAUER GIN;750 ML;S; 3.77 
153;0219B;TR.VIC S AUTH. DK RUM;750 ML;T; 8.85 
154;0220B;TR.VIC S PRIV. SEL GLD 151;750 ML;T; 49.04 
155;0221B;POTTERS SPECIAL BLEND;750 ML;R; 36.80 
156;0221E;POTTERS SPECIAL BLEND;375 ML;R; 47.38 
157;0221H;POTTERS SPECIAL BLEND;1.75 L;R; 17.79 
158;0222B;TR.VIC S PRIV SEL GLD 80;750 ML;T; 94.02 
159;0223B;BEAM S EIGHT STAR BLEND;750 ML;R; 52.71 
160;0223E;BEAM S EIGHT STAR BLEND;375 ML;R; 24.37 
161;0223H;BEAM S EIGHT STAR BLEND;1.75 L;R; 65.15 
162;0224B;TR.VIC S PRIV. SEL SILVER;750 ML;T; 20.14 
163;0225B;KESSLER;750 ML;R; 57.40 
164;0225E;KESSLER;375 ML;X; 96.14 
165;0225H;KESSLER;1.75 L;R; 4.91 
166;0226B;MCCORMICK BLEND;750 ML;R; 73.10 
167;0226E;MCCORMICK BLEND;375 ML;R; 61.08 
168;0226H;MCCORMICK BLEND;1.75 L;R; 8.75 
169;0227A;TR.VIC S ROYAL AMBER RUM;LITER;T; 77.98 
170;0228H;MARGARITAVILLE SKINNY MARG;1.75 L;L; 73.92 
171;0229B;MONTE ALBAN REPOSADO;750 ML;L; 69.07 
172;0230B;MONTE ALBAN SILVER;750 ML;L; 72.42 
173;0231B;MONARCH RESERVE;750 ML;R; 46.31 
174;0232B;ISLE OF JURA PROPHECY SING;750 ML;S; 64.17 
175;0233B;BACARDI ARCTIC GRAPE;750 ML;L; 59.08 
176;0233F;BACARDI ARCTIC GRAPE;50 ML;T; 95.58 
177;0234B;ISLAND 808 VODKA;750 ML;S; 4.88 
178;0235B;SHARKWATER LIQUEUR;750 ML;S; 79.11 
179;0236E;EDGEFIELD MONKEY PUZZLE NA;375 ML;D; 74.11 
180;0237B;ARDBEG ALLIGATOR;750 ML;S; 84.28 
181;0238B;SEAGRAMS 7 CROWN 75TH ANNI;750 ML;T; 13.40 
182;0239H;CHI-CHI S GOLD MARGARITA;1.75 L;L; 81.68 
183;0240H;CHI-CHI S SKINNY MARGARITA;1.75 L;L; 31.15 
184;0241B;STEIN SEVEN DEVILS RUM;750 ML;L; 11.46 
185;0242B;42 BELOW PASSIONFRUIT VODK;750 ML;S; 75.90 
186;0243B;DEATH S DOOR GIN;750 ML;S; 81.25 
187;0244B;PENDLETON 1910;750 ML;A; 13.50 
188;0245B;IMBUE BITTERSWEET VERMOUTH;750 ML;T; 65.56 
189;0246B;JUMBIE LIQUEUR;750 ML;S; 43.39 
190;0247B;BLACK MAPLE HILL 16 YR;750 ML;S; 39.33 
191;0248B;BOOMSMA OUDE GENEVER;750 ML;S; 4.73 
192;0249B;HEAVEN HILL ULTRA DELUXE;750 ML;S; 83.91 
193;0250B;ASOMBROSO 11 YR VINTAGE AN;750 ML;S; 50.20 
194;0251B;LION S PRIDE ORG. OAT WHIS;750 ML;S; 49.12 
195;0252B;CANADIAN RICH & RARE RESER;750 ML;L; 52.16 
196;0252F;CANADIAN RICH & RARE RESER;50 ML;T; 41.38 
197;0253B;WHITE DOG BARRELING STRENG;750 ML;L; 41.06 
198;0254B;HOT ROSE LIQUEUR;750 ML;L; 46.53 
199;0254F;HOT ROSE LIQUEUR;50 ML;T; 43.17 
200;0255H;BACARDI HAND SHAKEN DAIQUI;1.75 L;L; 34.79 
201;0256B;ART IN THE AGE GINGERSNAP;750 ML;S; 56.11 
202;0257B;DISTILLER S CHOICE MAY;750 ML;D; 28.77 
203;0258E;SINGLE OAK PROJECT;375 ML;S; 12.00 
204;0259E;EDGEFIELD LONGSHOT BR. N/A;375 ML;D; 23.63 
205;0260B;CRUZAN STRAWBERRY;750 ML;L; 39.33 
206;0261B;FARMER S ORGANIC GIN;750 ML;S; 20.77 
207;0262B;CYRUS NOBLE BOURBON;750 ML;S; 39.59 
208;0263B;SEAGRAMS 7 CROWN LT.WGT.;750 ML;R; 69.24 
209;0264B;MILLARS WHISKEY 8 YR;750 ML;S; 87.30 
210;0265B;SEAGRAMS 7 CROWN;750 ML;R; 69.28 
211;0265D;SEAGRAMS 7 CROWN;200 ML;R; 78.02 
212;0265E;SEAGRAMS 7 CROWN;375 ML;R; 86.12 
213;0265F;SEAGRAMS 7 CROWN;50 ML;R; 49.80 
214;0265H;SEAGRAMS 7 CROWN;1.75 L;R; 95.14 
215;0266B;MILLARS SPECIAL RESERVE;750 ML;S; 42.12 
216;0267B;BROKERS RESERVE BLEND;750 ML;R; 8.03 
217;0267E;BROKERS RESERVE BLEND;375 ML;R; 45.71 
218;0267H;BROKERS RESERVE BLEND;1.75 L;R; 54.56 
219;0268B;BROKERS RESERVE LT. WGT.;750 ML;R; 82.72 
220;0269B;WILD TURKEY 101 PET;750 ML;L; 15.00 
221;0270B;MAURIN QUINA LIQUEUR;750 ML;S; 6.97 
222;0271B;DISTILLER S CHOICE JUNE;750 ML;D; 48.27 
223;0272B;CUPCAKE VODKA;750 ML;T; 85.87 
224;0272F;CUPCAKE VODKA;50 ML;T; 89.96 
225;0273B;CUPCAKE CHIFFON VODKA;750 ML;T; 93.27 
226;0274B;CUPCAKE DEVIL S FOOD VODKA;750 ML;T; 14.06 
227;0275B;CUPCAKE FROSTING VODKA;750 ML;T; 93.56 
228;0275F;CUPCAKE FROSTING VODKA;50 ML;T; 12.57 
229;0276B;BURNETT S WHIPPED CREAM VO;750 ML;L; 28.99 
230;0277B;MERLET FRAMBOISE RASPBERRY;750 ML;S; 34.37 
231;0278B;MERLET MURE BLACKBERRY;750 ML;S; 2.36 
232;0279B;MERLET POIRE PEAR;750 ML;S; 50.92 
233;0280B;MERLET TRIPLE SEC;750 ML;S; 49.34 
234;0281B;MERLET PECHE PEACH;750 ML;S; 75.91 
235;0282B;MERLET CASSIS BLACKCURRANT;750 ML;S; 93.33 
236;0283B;MERLET FRAISE STRAWBERRY;750 ML;S; 49.43 
237;0284B;OLD NEW ENGL.CHOC. EGG NOG;750 ML;H; 67.07 
238;0285B;VENTURA ORANGECELLO N/A;750 ML;D; 3.47 
239;0285E;VENTURA ORANGECELLO N/A;375 ML;S; 23.15 
240;0286B;VENTURA LIMONCELLO ORIGINA;750 ML;S; 27.62 
241;0287B;MT. GAY BLACK RUM;750 ML;L; 98.74 
242;0288B;CHARIMAN S RESERVE SPICED;750 ML;S; 90.63 
243;0289A;CHAIRMAN RESERVE SILVER RU;LITER;S; 44.76 
244;0290B;ERISTOFF VODKA;750 ML;S; 21.41 
245;0290H;ERISTOFF VODKA;1.75 L;S; 78.94 
246;0291B;ERISTOFF BLACK VODKA;750 ML;S; 33.99 
247;0292B;ERISTOFF RED VODKA;750 ML;S; 28.76 
248;0293B;ABERLOUR 18 YR;750 ML;S; 29.39 
249;0294D;RED STAG BY JIM BEAM;200 ML;T; 65.54 
250;0294H;RED STAG BY JIM BEAM;1.75 L;L; 55.31 
251;0295B;HERRADURA REPOSADO BUY THE;750 ML;S; 38.46 
252;0296H;FLEISCHMANNS PREFERRED;1.75 L;R; 32.43 
253;0297D;DEKUYPER SUMMER TRIAL PACK;200 ML;T; 85.71 
254;0298B;RON DE JEREMY RUM;750 ML;S; 66.63 
255;0299B;MACNAUGHTON LT. WGT.;750 ML;R; 31.70 
256;0300B;CAMPBELL & COOPER CANADIAN;750 ML;X; 58.49 
257;0300H;CAMPBELL & COOPER CANADIAN;1.75 L;R; 86.94 
258;0301B;SEAGRAMS V.O. GOLD;750 ML;R; 95.48 
259;0301H;SEAGRAMS V.O. GOLD;1.75 L;S; 97.41 
260;0302B;BLACK VELVET PORTABLE;750 ML;R; 50.24 
261;0304B;CANADIAN CLUB;750 ML;R; 89.35 
262;0304E;CANADIAN CLUB;375 ML;S; 65.87 
263;0304H;CANADIAN CLUB;1.75 L;R; 30.25 
264;0305B;CANADIAN MIST;750 ML;R; 56.59 
265;0305D;CANADIAN MIST;200 ML;S; 88.37 
266;0305E;CANADIAN MIST;375 ML;R; 57.62 
267;0305H;CANADIAN MIST;1.75 L;R; 54.58 
268;0306B;SEAGRAMS V O;750 ML;R; 5.57 
269;0306E;SEAGRAMS V O;375 ML;R; 70.36 
270;0306H;SEAGRAMS V O;1.75 L;R; 26.40 
271;0307H;CANADIAN WOODS;1.75 L;S; 70.58 
272;0308B;MACNAUGHTON;750 ML;R; 56.05 
273;0308E;MACNAUGHTON;375 ML;R; 61.26 
274;0308H;MACNAUGHTON;1.75 L;R; 2.89 
275;0309B;POTTERS CROWN CANADIAN;750 ML;R; 78.64 
276;0309E;POTTERS CROWN CANADIAN;375 ML;R; 50.17 
277;0309H;POTTERS CROWN CANADIAN;1.75 L;R; 43.58 
278;0310H;HARWOOD CANADIAN;1.75 L;R; 52.42 
279;0311B;CROWN ROYAL;750 ML;R; 64.16 
280;0311D;CROWN ROYAL;200 ML;R; 27.43 
281;0311E;CROWN ROYAL;375 ML;R; 75.28 
282;0311F;CROWN ROYAL;50 ML;R; 24.58 
283;0311H;CROWN ROYAL;1.75 L;R; 50.29 
284;0312B;CANADIAN R & R  LT. WGT.;750 ML;R; 48.33 
285;0313B;BLACK VELVET;750 ML;R; 82.11 
286;0313D;BLACK VELVET;200 ML;R; 14.61 
287;0313E;BLACK VELVET;375 ML;R; 89.93 
288;0313F;BLACK VELVET;50 ML;R; 7.04 
289;0313H;BLACK VELVET;1.75 L;R; 58.39 
290;0314B;CANADIAN RICH & RARE;750 ML;R; 75.90 
291;0314E;CANADIAN RICH & RARE;375 ML;R; 90.93 
292;0314H;CANADIAN RICH & RARE;1.75 L;R; 31.09 
293;0315B;FOUR ROSES LTD 2011 N/A;750 ML;D; 99.66 
294;0316B;DL FRANKLIN VODKA;750 ML;L; 34.96 
295;0316F;DL FRANKLIN VODKA;50 ML;L; 57.37 
296;0317B;EARLY TIMES BOURBON 354;750 ML;L; 11.53 
297;0318B;LORD CALVERT CANADIAN;750 ML;R; 74.67 
298;0318H;LORD CALVERT CANADIAN;1.75 L;R; 20.01 
299;0319H;WINDSOR CANADIAN;1.75 L;R; 18.83 
300;0321B;PENDLETON CANADIAN WHISKEY;750 ML;R; 5.79 
301;0321E;PENDLETON CANADIAN WHISKEY;375 ML;R; 89.89 
302;0321F;PENDLETON CANADIAN WHISKEY;50 ML;R; 7.04 
303;0321H;PENDLETON CANADIAN WHISKEY;1.75 L;R; 40.99 
304;0322B;CANADIAN CLUB RES. 10 YR.;750 ML;R; 18.26 
305;0323B;MONARCH CANADIAN;750 ML;R; 74.37 
306;0323E;MONARCH CANADIAN;375 ML;R; 1.46 
307;0323H;MONARCH CANADIAN;1.75 L;R; 33.61 
308;0324H;WESTERN CANADIAN;1.75 L;R; 43.86 
309;0325B;CHAMBORD FLAVORED VODKA;750 ML;L; 32.28 
310;0326B;CANADIAN LTD;750 ML;R; 65.49 
311;0326H;CANADIAN LTD;1.75 L;R; 52.14 
312;0327B;CANADIAN HUNTER;750 ML;R; 23.13 
313;0327H;CANADIAN HUNTER;1.75 L;R; 30.20 
314;0328B;CANADIAN MIST LT. WGT.;750 ML;R; 75.21 
315;0329B;TANGLE RIDGE CANADIAN;750 ML;R; 91.23 
316;0330B;SCOT BLAIR SCOTCH N/A;750 ML;X; 25.36 
317;0331B;DR. MCGILLICUDDY S ICE MIN;750 ML;L; 31.70 
318;0332B;CLUNY SCOTCH CLASSIC;750 ML;C; 36.41 
319;0334B;CLASSIC 12--CANADIAN CLUB;750 ML;C; 2.06 
320;0336B;DR. MCGILLICUDDY S APPLE P;750 ML;L; 96.75 
321;0337B;GLENFIDDICH ANCIENT RESERV;750 ML;R; 42.29 
322;0338B;LAUDERS SCOTCH;750 ML;R; 22.49 
323;0338E;LAUDERS SCOTCH;375 ML;R; 7.24 
324;0338H;LAUDERS SCOTCH;1.75 L;R; 26.86 
325;0339B;NORTHERN LIGHT CANADIAN;750 ML;R; 9.74 
326;0339H;NORTHERN LIGHT CANADIAN;1.75 L;R; 1.25 
327;0340H;MUIRHEAD SCOTCH  N/A;1.75 L;D; 53.21 
328;0341B;POTTERS SCOTCH;750 ML;R; 17.93 
329;0341H;POTTERS SCOTCH;1.75 L;R; 49.18 
330;0343B;MONARCH SCOTCH N/A;750 ML;X; 32.30 
331;0343H;MONARCH SCOTCH N/A;1.75 L;X; 52.81 
332;0344B;MONARCH CANADIAN LT. WGT.;750 ML;R; 51.00 
333;0345B;BLACK VELVET SIPPING WHSKY;750 ML;R; 0.16 
334;0345H;BLACK VELVET SIPPING WHSKY;1.75 L;R; 97.05 
335;0346B;CUTTY SARK SCOTCH;750 ML;R; 86.64 
336;0346E;CUTTY SARK SCOTCH;375 ML;R; 41.54 
337;0346F;CUTTY SARK SCOTCH;50 ML;X; 84.99 
338;0346H;CUTTY SARK SCOTCH;1.75 L;R; 45.94 
339;0348B;DR. MCGILLICUDDY S GRAPE;750 ML;T; 21.35 
340;0349B;MACALLAN CASK STRENGTH;750 ML;R; 41.78 
341;0350B;OLD SMUGGLER SCOTCH;750 ML;R; 53.71 
342;0350H;OLD SMUGGLER SCOTCH;1.75 L;R; 79.86 
343;0351B;TEACHERS HIGHLAND CREAM;750 ML;R; 79.27 
344;0352B;DEWARS WHITE LABEL;750 ML;R; 17.90 
345;0352D;DEWARS WHITE LABEL;200 ML;S; 6.68 
346;0352E;DEWARS WHITE LABEL;375 ML;X; 62.73 
347;0352F;DEWARS WHITE LABEL;50 ML;X; 64.37 
348;0352H;DEWARS WHITE LABEL;1.75 L;R; 71.30 
349;0353B;JOHN BARR RED SCOTCH N/A;750 ML;D; 46.93 
350;0354B;DUGGAN S DEW;750 ML;L; 73.41 
351;0356B;JOHNNIE WALKER RED  GIFT;750 ML;R; 24.83 
352;0356E;JOHNNIE WALKER RED  GIFT;375 ML;R; 59.64 
353;0356F;JOHNNIE WALKER RED  GIFT;50 ML;S; 61.45 
354;0356H;JOHNNIE WALKER RED  GIFT;1.75 L;R; 70.09 
355;0357B;JOHNNIE WALKER BLK LABEL;750 ML;R; 72.25 
356;0357E;JOHNNIE WALKER BLK LABEL;375 ML;R; 12.98 
357;0357H;JOHNNIE WALKER BLK LABEL;1.75 L;R; 74.27 
358;0358B;GLENFARCLAS 12 YR.;750 ML;R; 83.02 
359;0359B;BALLENTINE S 30 YR;750 ML;S; 29.49 
360;0360B;BALLANTINES FINEST SCOTCH;750 ML;R; 65.12 
361;0360H;BALLANTINES FINEST SCOTCH;1.75 L;R; 94.75 
362;0361B;TAMBOWIE;750 ML;S; 21.53 
363;0362B;HOUSE OF STUART SCOTCH;750 ML;D; 64.64 
364;0362H;HOUSE OF STUART SCOTCH;1.75 L;R; 43.42 
365;0363B;HAIG & HAIG PINCH;750 ML;R; 96.27 
366;0365B;WM. GRANT S BLENDED SCOTCH;750 ML;R; 24.89 
367;0365H;WM. GRANT S BLENDED SCOTCH;1.75 L;S; 69.97 
368;0368B;FAMOUS GROUSE SCOTCH;750 ML;R; 54.37 
369;0369H;PASSPORT SCOTCH;1.75 L;S; 58.11 
370;0370B;CLAN MACGREGOR SCOTCH;750 ML;R; 1.18 
371;0370H;CLAN MACGREGOR SCOTCH;1.75 L;R; 24.40 
372;0371B;GLENLIVET 18 YR. OLD;750 ML;R; 95.27 
373;0372B;J & B RARE SCOTCH;750 ML;R; 54.21 
374;0372F;J & B RARE SCOTCH;50 ML;R; 84.57 
375;0372H;J & B RARE SCOTCH;1.75 L;R; 21.31 
376;0374B;CRUSOE ORGANIC SPICED RUM;750 ML;D; 2.41 
377;0375B;SMIRNOFF COCONUT;750 ML;L; 52.49 
378;0375F;SMIRNOFF COCONUT;50 ML;T; 57.21 
379;0376B;GLENLIVET SCOTCH;750 ML;R; 17.53 
380;0376E;GLENLIVET SCOTCH;375 ML;R; 79.19 
381;0376F;GLENLIVET SCOTCH;50 ML;T; 11.65 
382;0376H;GLENLIVET SCOTCH;1.75 L;R; 1.03 
383;0378B;WODKA VODKA;750 ML;S; 56.41 
384;0379B;GLENMORANGIE ORIGINAL 18YR;750 ML;R; 36.27 
385;0381E;BRANDY PEAK SGL BAR.BRANDY;375 ML;R; 87.80 
386;0383B;CHIVAS REGAL SCOTCH;750 ML;R; 95.51 
387;0383E;CHIVAS REGAL SCOTCH;375 ML;R; 39.42 
388;0383H;CHIVAS REGAL SCOTCH;1.75 L;R; 7.38 
389;0384B;THE BITTER TRUTH PIMENTO D;750 ML;S; 15.40 
390;0386B;J. POWER & SON IR.WHISKEY;750 ML;R; 82.81 
391;0387B;SPEYBURN SINGLE MALT SC;750 ML;R; 44.11 
392;0387H;SPEYBURN SINGLE MALT SC;1.75 L;S; 8.90 
393;0388B;SCORESBY SCOTCH;750 ML;R; 55.24 
394;0388H;SCORESBY SCOTCH;1.75 L;R; 92.37 
395;0389B;STOLI CHOCOLAT RAZBERI;750 ML;L; 36.23 
396;0390B;BUSHMILLS IRISH WHISKEY;750 ML;R; 60.43 
397;0390E;BUSHMILLS IRISH WHISKEY;375 ML;R; 41.26 
398;0390H;BUSHMILLS IRISH WHISKEY;1.75 L;R; 8.90 
399;0391B;JAMESON IRISH WHISKEY;750 ML;R; 97.41 
400;0391D;JAMESON IRISH WHISKEY;200 ML;C; 20.43 
